#x/H z/H N ux_rms/Uc uz_rms/Uc uy_rms/Uc
2.02E+00 1.70E+00 595 5.53E-02 4.08E-02 4.23E-02
2.02E+00 1.72E+00 598 5.49E-02 3.93E-02 4.02E-02
2.02E+00 1.75E+00 577 4.90E-02 3.94E-02 3.96E-02
2.02E+00 1.77E+00 673 5.32E-02 3.96E-02 3.90E-02
2.02E+00 1.80E+00 645 5.09E-02 4.02E-02 3.62E-02
2.02E+00 1.82E+00 628 4.91E-02 3.91E-02 3.70E-02
2.02E+00 1.85E+00 630 4.63E-02 3.61E-02 3.44E-02
2.02E+00 1.87E+00 643 4.70E-02 3.71E-02 3.57E-02
2.02E+00 1.90E+00 636 4.36E-02 3.77E-02 3.70E-02
2.02E+00 1.92E+00 642 4.53E-02 3.63E-02 3.48E-02
2.02E+00 1.94E+00 652 4.20E-02 3.54E-02 3.31E-02
2.02E+00 1.97E+00 652 4.61E-02 3.66E-02 3.40E-02
2.02E+00 1.99E+00 668 4.32E-02 3.58E-02 3.56E-02
2.02E+00 2.02E+00 725 4.42E-02 3.78E-02 3.54E-02
2.02E+00 2.04E+00 673 4.34E-02 3.64E-02 3.43E-02
2.02E+00 2.07E+00 663 4.53E-02 3.64E-02 3.46E-02
2.02E+00 2.09E+00 641 4.68E-02 3.66E-02 3.80E-02
2.02E+00 2.11E+00 623 4.76E-02 3.92E-02 3.69E-02
2.02E+00 2.14E+00 644 4.61E-02 3.72E-02 3.79E-02
2.02E+00 2.16E+00 607 4.90E-02 3.89E-02 3.86E-02
2.02E+00 2.19E+00 601 5.23E-02 3.95E-02 3.84E-02
2.02E+00 2.21E+00 610 5.31E-02 3.77E-02 4.08E-02
2.02E+00 2.24E+00 594 5.36E-02 4.17E-02 3.98E-02
2.02E+00 2.26E+00 549 5.67E-02 4.15E-02 3.89E-02
2.02E+00 2.29E+00 545 5.51E-02 3.88E-02 4.46E-02
2.02E+00 2.31E+00 549 6.08E-02 3.97E-02 4.19E-02
2.02E+00 2.34E+00 564 6.13E-02 4.21E-02 4.46E-02
2.02E+00 2.36E+00 526 6.15E-02 3.99E-02 4.45E-02
2.02E+00 2.38E+00 499 6.39E-02 4.30E-02 4.76E-02
2.02E+00 2.41E+00 506 6.14E-02 4.55E-02 4.82E-02
2.02E+00 2.43E+00 493 6.10E-02 4.39E-02 4.86E-02
2.02E+00 2.46E+00 447 6.53E-02 4.32E-02 4.78E-02
2.02E+00 2.48E+00 423 6.62E-02 4.67E-02 5.17E-02
2.02E+00 2.51E+00 447 6.85E-02 4.64E-02 5.37E-02
2.02E+00 2.53E+00 431 7.12E-02 4.73E-02 5.49E-02
2.02E+00 2.55E+00 433 7.25E-02 4.89E-02 5.29E-02
2.02E+00 2.58E+00 463 7.63E-02 5.07E-02 5.61E-02
2.02E+00 2.60E+00 453 7.14E-02 4.80E-02 5.73E-02
2.02E+00 2.63E+00 448 7.61E-02 5.01E-02 5.98E-02
2.02E+00 2.65E+00 468 8.28E-02 5.08E-02 5.99E-02
2.02E+00 2.68E+00 478 8.86E-02 4.78E-02 6.24E-02
2.02E+00 2.70E+00 462 8.29E-02 5.45E-02 6.05E-02
2.02E+00 2.73E+00 460 8.33E-02 5.10E-02 6.43E-02
2.02E+00 2.75E+00 481 9.26E-02 5.32E-02 6.61E-02
2.02E+00 2.77E+00 477 8.59E-02 4.92E-02 6.34E-02
2.02E+00 2.80E+00 489 9.52E-02 4.67E-02 6.63E-02
2.02E+00 2.82E+00 519 1.09E-01 5.03E-02 6.49E-02
2.02E+00 2.85E+00 532 1.15E-01 4.54E-02 6.36E-02
2.02E+00 2.87E+00 523 1.29E-01 4.53E-02 6.19E-02
2.02E+00 2.90E+00 488 1.35E-01 3.47E-02 5.87E-02
2.02E+00 2.92E+00 524 1.40E-01 3.11E-02 5.34E-02
2.02E+00 2.95E+00 501 1.34E-01 1.75E-02 4.61E-02
2.02E+00 2.96E+00 160 1.40E-01 1.18E-02 3.01E-02


#x/H z/H N ux_rms/Uc uz_rms/Uc uy_rms/Uc
3.00E+00 2.10E-02 1 3.22E-09 4.60E-11 1.03E-09
3.00E+00 4.10E-02 13 2.83E-02 2.40E-02 3.29E-02
3.00E+00 6.14E-02 29 7.33E-02 3.34E-02 7.67E-02
3.00E+00 8.62E-02 27 8.01E-02 3.01E-02 6.99E-02
3.00E+00 1.11E-01 40 7.41E-02 6.68E-02 9.80E-02
3.00E+00 1.35E-01 26 6.97E-02 4.16E-02 8.47E-02
3.00E+00 1.61E-01 21 6.12E-02 6.57E-02 7.94E-02
3.00E+00 1.84E-01 14 5.88E-02 4.15E-02 7.59E-02
3.00E+00 2.10E-01 35 8.90E-02 8.23E-02 8.05E-02
3.00E+00 2.29E-01 20 5.69E-02 5.98E-02 7.87E-02
3.00E+00 2.57E-01 27 8.28E-02 5.69E-02 1.09E-01
3.00E+00 2.80E-01 31 4.25E-02 5.80E-02 1.04E-01
3.00E+00 3.06E-01 9 3.72E-02 4.49E-02 3.32E-02
3.00E+00 3.29E-01 39 1.02E-01 1.13E-01 6.43E-02
3.00E+00 3.52E-01 24 1.24E-01 1.05E-01 8.90E-02
3.00E+00 3.78E-01 46 1.13E-01 8.72E-02 9.46E-02
3.00E+00 4.05E-01 55 1.21E-01 9.44E-02 8.90E-02
3.00E+00 4.28E-01 72 1.13E-01 8.26E-02 9.51E-02
3.00E+00 4.52E-01 66 1.18E-01 8.70E-02 1.22E-01
3.00E+00 4.76E-01 47 1.55E-01 7.65E-02 1.14E-01
3.00E+00 5.03E-01 53 1.48E-01 9.48E-02 1.48E-01
3.00E+00 5.26E-01 63 1.49E-01 9.91E-02 1.05E-01
3.00E+00 5.50E-01 55 1.44E-01 9.12E-02 9.57E-02
3.00E+00 5.75E-01 38 1.65E-01 1.09E-01 1.19E-01
3.00E+00 6.00E-01 52 1.31E-01 1.09E-01 1.04E-01
3.00E+00 6.24E-01 71 1.48E-01 1.07E-01 1.29E-01
3.00E+00 6.49E-01 69 1.36E-01 9.81E-02 1.44E-01
3.00E+00 6.72E-01 71 1.55E-01 9.63E-02 1.36E-01
3.00E+00 6.97E-01 85 1.71E-01 1.10E-01 1.67E-01
3.00E+00 7.21E-01 66 1.52E-01 1.02E-01 1.45E-01
3.00E+00 7.46E-01 38 1.53E-01 1.09E-01 1.37E-01
3.00E+00 7.69E-01 84 1.39E-01 1.21E-01 1.48E-01
3.00E+00 7.96E-01 99 1.68E-01 1.02E-01 1.21E-01
3.00E+00 8.19E-01 86 1.61E-01 1.35E-01 1.08E-01
3.00E+00 8.43E-01 93 1.80E-01 1.08E-01 1.35E-01
3.00E+00 8.68E-01 93 1.71E-01 1.05E-01 1.34E-01
3.00E+00 8.93E-01 113 1.62E-01 1.22E-01 1.36E-01
3.00E+00 9.17E-01 123 1.62E-01 1.21E-01 1.38E-01
3.00E+00 9.42E-01 147 1.59E-01 1.12E-01 1.38E-01
3.00E+00 9.65E-01 126 1.58E-01 1.17E-01 1.36E-01
3.00E+00 9.91E-01 109 1.56E-01 1.34E-01 1.44E-01
3.00E+00 1.01E+00 181 1.65E-01 1.20E-01 1.50E-01
3.00E+00 1.04E+00 179 1.74E-01 1.14E-01 1.38E-01
3.00E+00 1.06E+00 206 1.65E-01 1.07E-01 1.39E-01
3.00E+00 1.09E+00 187 1.70E-01 1.06E-01 1.19E-01
